"id";"location";"hotel_image";"hotel_name";"price";"hotel_type"
73;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/99/84/998427_v1.jpeg";"Peninsula Beach Resort";3694;"Hotel"
74;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/13/53/1353898_v3.jpeg";"Beleza By The Beach";11209;"Hotel"
75;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/26/61/2661928.jpeg";"Stonewater Eco Resort";3510;"Resort"
76;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/26/29/2629185_v1.jpeg";"Hard Rock Hotel Goa";5727;"Hotel"
77;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/64/47/6447426_v5.jpeg";"Resort Blossom Goa";2550;"Hotel"
78;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/47/79/4779244_v4.jpeg";"Western Valley Resorts";6409;"Resort"
79;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/64/27/6427006_v1.jpeg";"OYO 5021 Golden Springs";1080;"Hotel"
80;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/63/15/6315212_v8.jpeg";"FabHotel Khems Ooty";2486;"Hotel"
81;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/14/28/1428429_v4.jpeg";"Lakeview";2968;"Hotel"
82;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/43/68/4368778.jpeg";"Blue Hills International";1580;"Hotel"
83;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/27/88/2788781.jpeg";"Rainbow Cottage";871;"Hotel"
84;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/14/29/1429426_v1.jpeg";"Nahar Residency Ooty";1680;"Hotel"
85;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/46/23/4623876_v2.jpeg";"Hotel TamilNadu - Ooty 1";1683;"Hotel"
86;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/24/01/2401572.jpeg";"Fortune Retreats Resorts - Ooty";2227;"Hotel"
87;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/55/76/557651_v1.jpeg";"Savoy,Ooty-IHCL SeleQtions";22361;"Hotel"
88;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/70/46/7046996.jpeg";"Green Yards Cottage";1377;"Hotel"
89;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/93/78/9378564_v1.jpeg";"SRJ's Thaneesh Southwick ELK Hill";2166;"Hotel"
90;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/28/93/2893319_v1.jpeg";"Garden Manor";2424;"Hotel"
